"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","500","500","873.84","1.56","1.52","2.01","1.14","2.55","572.19"
"reflectie","500","500","915.57","1.65","1.55","2.41","1.16","3.76","546.11"
"reflectie","500","500","892.99","1.61","1.54","2.13","1.2","3.2","559.91"
"meta","500","500","892.79","1.61","1.51","2.31","1.14","4.36","560.04"
"meta","500","500","825.37","1.47","1.38","1.96","1.14","3.46","605.79"
"reflectie","500","500","989.17","1.79","1.67","2.55","1.22","4.41","505.47"
"reflectie","500","500","916.45","1.66","1.57","2.44","1.09","5.85","545.58"
"meta","500","500","802.69","1.46","1.37","2.03","1.11","4.09","622.91"
"meta","500","500","900.1","1.63","1.57","2.22","1.19","5.75","555.49"
"reflectie","500","290","1526.84","2.89","1.69","5.48","1.19","16.16","327.47"
"reflectie","500","0","2311.13","4.45","4.37","5.52","3.32","7.51","216.34"
"meta","500","0","2226.83","4.29","4.2","5.22","3.05","6.85","224.53"
"meta","500","0","2312.34","4.47","4.36","5.62","3.25","8.45","216.23"
"reflectie","500","0","2177.75","4.21","4.11","5.19","3.25","7.76","229.59"
